Date,Y,Open,High,Low,Vol.,Change %
2015-01-01,313.9,317.5,317.5,312.9,0.93K,-0.99%
2015-01-02,315.1,313.6,316.0,313.0,1.32K,0.40%
2015-01-05,273.2,261.0,276.5,260.5,2.68K,5.57%
2015-01-06,285.4,273.2,287.8,268.5,6.86K,4.46%
2015-01-07,297.0,286.1,303.8,285.0,1.53K,4.07%
2015-01-08,285.6,296.2,296.2,285.6,1.31K,-3.82%
2015-01-09,292.8,285.4,295.6,283.0,1.26K,2.52%
2015-01-12,267.6,267.2,281.0,265.5,2.56K,0.54%
2015-01-13,229.8,267.3,267.6,222.5,13.52K,-14.12%
2015-01-14,183.2,230.3,230.5,164.9,9.67K,-20.31%
2015-01-15,217.7,181.1,234.5,176.5,3.30K,18.87%
2015-01-16,206.7,216.0,225.0,200.0,1.56K,-5.07%
2015-01-19,213.2,211.2,216.2,208.8,1.19K,1.60%
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,226.3,245.5,257.7,216.6,0.00K,0.36%
2015-01-23,,,,,,
2015-01-26,274.5,262.8,322.7,241.4,5.18K,7.84%
2015-01-27,263.6,274.7,278.5,244.0,1.63K,-3.95%
2015-01-28,236.1,264.0,266.0,228.5,5.34K,-10.45%
2015-01-29,235.0,235.9,242.0,221.1,6.64K,-0.45%
2015-01-30,229.1,235.0,244.6,227.9,5.77K,-2.54%
2015-02-02,237.8,228.4,240.1,220.9,7.45K,3.86%
2015-02-03,228.6,237.0,243.9,225.3,8.32K,-3.89%
2015-02-04,227.1,228.8,231.0,221.5,9.15K,-0.64%
2015-02-05,216.8,227.1,228.9,215.0,7.41K,-4.56%
2015-02-06,223.2,216.8,226.6,216.0,5.69K,2.97%
2015-02-09,221.1,224.0,225.0,216.4,6.55K,-1.29%
2015-02-10,220.9,221.1,222.0,215.0,5.40K,-0.10%
2015-02-11,219.8,221.4,223.3,218.1,19.23K,-0.49%
2015-02-12,222.4,220.0,223.2,217.8,20.02K,1.17%
2015-02-13,236.1,222.6,242.5,221.5,68.09K,6.16%
2015-02-16,233.6,235.9,243.3,229.0,47.11K,-0.97%
2015-02-17,244.0,233.5,246.3,231.5,41.39K,4.45%
2015-02-18,236.3,244.0,245.0,231.7,39.24K,-3.16%
2015-02-19,240.2,236.3,243.4,235.0,23.47K,1.65%
2015-02-20,244.5,240.0,248.3,238.9,31.65K,1.79%
2015-02-23,239.4,236.5,241.0,232.6,23.92K,1.23%
2015-02-24,239.7,239.4,241.0,236.7,16.66K,0.14%
2015-02-25,238.0,239.7,240.8,235.6,13.56K,-0.73%
2015-02-26,236.9,238.0,238.3,233.8,18.69K,-0.45%
2015-02-27,255.0,236.9,262.6,236.6,69.50K,7.61%
2015-03-02,277.3,262.4,279.6,259.2,66.41K,5.68%
2015-03-03,283.8,277.3,290.3,268.0,82.29K,2.33%
2015-03-04,273.3,283.8,286.0,267.4,71.03K,-3.67%
2015-03-05,277.7,273.3,284.5,262.9,66.63K,1.60%
2015-03-06,273.2,277.7,277.9,269.7,40.56K,-1.62%
2015-03-09,291.0,275.6,295.0,279.0,62.86K,5.60%
2015-03-10,292.7,291.0,303.8,290.0,67.18K,0.57%
2015-03-11,296.7,292.6,298.7,291.1,26.09K,1.37%
2015-03-12,295.6,296.7,298.8,292.4,27.18K,-0.38%
2015-03-13,283.3,295.5,295.9,282.1,43.54K,-4.15%
2015-03-16,291.2,286.9,295.1,289.3,22.32K,1.51%
2015-03-17,285.3,291.2,292.8,283.0,22.13K,-2.05%
2015-03-18,257.3,285.1,285.2,249.0,89.46K,-9.80%
2015-03-19,261.9,257.3,267.9,248.1,78.90K,1.77%
2015-03-20,262.2,262.0,267.0,259.4,16.27K,0.13%
2015-03-23,267.2,268.8,271.5,262.0,23.56K,-0.59%
2015-03-24,246.0,267.2,268.4,241.5,62.94K,-7.94%
2015-03-25,245.9,246.0,250.0,235.7,54.42K,-0.03%
2015-03-26,249.2,246.3,255.0,246.3,33.27K,1.33%
2015-03-27,246.5,249.2,250.4,245.3,22.46K,-1.08%
2015-03-30,247.9,242.7,248.7,246.9,30.64K,2.26%
2015-03-31,244.3,247.9,248.8,242.0,22.44K,-1.45%
2015-04-01,246.9,244.5,248.5,239.5,23.54K,1.06%
2015-04-02,253.2,246.9,254.9,244.6,26.22K,2.55%
2015-04-03,254.2,253.2,256.4,250.7,28.36K,0.39%
2015-04-06,255.6,260.5,262.4,253.7,20.82K,-1.88%
2015-04-07,253.7,255.6,257.9,253.0,10.53K,-0.74%
2015-04-08,244.9,253.7,255.0,243.1,39.68K,-3.46%
2015-04-09,243.6,244.9,246.8,236.5,22.75K,-0.55%
2015-04-10,236.1,243.6,243.7,230.8,37.33K,-3.06%
